"id","name","image","addr"
37,Goemon,https://s3-media2.fl.yelpcdn.com/bphoto/l3JgkXGNnuSi-xRk1XzSxg/o.jpg,"1524 Irving St, San Francisco, CA 94122"
38,Barbacco,https://s3-media2.fl.yelpcdn.com/bphoto/W-wbXYKq7555vyTMJozJWQ/o.jpg,"220 California St, San Francisco, CA 94111"
39,Foreign Cinema,https://s3-media4.fl.yelpcdn.com/bphoto/Ynyfg9pp8v8UaTtFFOh98A/o.jpg,"2534 Mission St, San Francisco, CA 94110"
40,Coqueta,https://s3-media1.fl.yelpcdn.com/bphoto/4KeM4_kJh3S1_jCSP0uYXQ/o.jpg,"The Embarcadero, Pier 5, San Francisco, CA 94105"
41,Mensho Tokyo,https://s3-media1.fl.yelpcdn.com/bphoto/FW8fWpjUC-LSju9liA_Kug/o.jpg,"672 Geary St, San Francisco, CA 94102"
42,Dumpling Time,https://s3-media3.fl.yelpcdn.com/bphoto/oMPKcdBSaG9szX9ageJ3MQ/o.jpg,"11 Division St, San Francisco, CA 94103"
43,Scoma's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/TruPuYz9N_gfQoc2EibB9A/o.jpg,"1965 Al Scoma Way, San Francisco, CA 94133"
44,Ryoko's,https://s3-media3.fl.yelpcdn.com/bphoto/qS3-AG16xjg0Nowms5Whxg/o.jpg,"619 Taylor St, San Francisco, CA 94102"
45,Izakaya Sozai,https://s3-media1.fl.yelpcdn.com/bphoto/04zZBEjVU_nWbvhChdNggQ/o.jpg,"1500 Irving St, San Francisco, CA 94122"
46,Limón Rotisserie,https://s3-media4.fl.yelpcdn.com/bphoto/wvbMWakjpf0c-0QeucFl9Q/o.jpg,"1001 S Van Ness Ave, San Francisco, CA 94110"
47,PPQ Dungeness Island,https://s3-media2.fl.yelpcdn.com/bphoto/2-j9zyksMuwMEuhWZNyN5Q/o.jpg,"2332 Clement St, San Francisco, CA 94121"
48,Little Skillet,https://s3-media2.fl.yelpcdn.com/bphoto/YUDWzSXh9do4JsdNZYd2iw/o.jpg,"360 Ritch St, San Francisco, CA 94107"
49,Zero Zero,https://s3-media2.fl.yelpcdn.com/bphoto/JB5XNOgdQHocE4nI9DHWkA/o.jpg,"826 Folsom St, San Francisco, CA 94107"
50,Sam Wo Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/84lUFVZ0ZxoHBEXbG0EWdQ/o.jpg,"713 Clay St, San Francisco, CA 94108"
51,House of Prime Rib,https://s3-media4.fl.yelpcdn.com/bphoto/HLrjaMoAgYSac0vx71YpCA/o.jpg,"1906 Van Ness Ave, San Francisco, CA 94109"
52,Tony's Pizza Napoletana,https://s3-media2.fl.yelpcdn.com/bphoto/d8tM3JkgYW0roXBygLoSKg/o.jpg,"1570 Stockton St, San Francisco, CA 94133"
53,Doma,https://s3-media3.fl.yelpcdn.com/bphoto/xfIAY7UGYsFUeA6kXtNXKg/o.jpg,"433 Precita Ave, San Francisco, CA 94110"
54,La Fusión,https://s3-media1.fl.yelpcdn.com/bphoto/7LZP0604HmgLFNeGre3rGw/o.jpg,"475 Pine St, San Francisco, CA 94104"
55,La Mar Cebichería Peruana,https://s3-media2.fl.yelpcdn.com/bphoto/2gAijMp_chiTNQJaVc_1IQ/o.jpg,"Pier 1 1/2 The Embarcadero, San Francisco, CA 94111"
56,Ichido,https://s3-media3.fl.yelpcdn.com/bphoto/E0iRmQXbk2mNfuYlJe0m_w/o.jpg,"687 Minna St, San Francisco, CA 94107"
57,Delarosa,https://s3-media2.fl.yelpcdn.com/bphoto/xKnjHh4ac1cAvV_uoQZv-A/o.jpg,"37 Yerba Buena Ln, San Francisco, CA 94103"
58,Fresca,https://s3-media1.fl.yelpcdn.com/bphoto/Ry8qMNPZGAoLYDw_Ja5nrQ/o.jpg,"2114 Fillmore St, San Francisco, CA 94115"
59,SO,https://s3-media3.fl.yelpcdn.com/bphoto/D9pxFfw9vDsb03w08VzwYw/o.jpg,"1010 Bryant St, San Francisco, CA 94103"
60,Suppenküche,https://s3-media3.fl.yelpcdn.com/bphoto/S36WwezowtrIxoICvJktmg/o.jpg,"525 Laguna St, San Francisco, CA 94102"
61,Box Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/6lYNesrYPiU2Y4_HuFpysA/o.jpg,"431 Natoma St, San Francisco, CA 94103"
62,Hopwater Distribution,https://s3-media3.fl.yelpcdn.com/bphoto/4oteOYmqMzyFlr3z1tpMvg/o.jpg,"850 Bush St, San Francisco, CA 94108"
63,The Slanted Door,https://s3-media1.fl.yelpcdn.com/bphoto/1xAl3sbCi8R4qY0hNJuHZA/o.jpg,"1 Ferry Bldg, Ste 3, San Francisco, CA 94111"
64,Picaro,https://s3-media1.fl.yelpcdn.com/bphoto/qQ2Cp1NFno-WlLvuzG6kEA/o.jpg,"3120 16th St, San Francisco, CA 94103"
65,Rooster & Rice,https://s3-media1.fl.yelpcdn.com/bphoto/kgwQPZriNW21_05wmkgE8A/o.jpg,"125 Kearny St, San Francisco, CA 94108"
66,Odumak,https://s3-media1.fl.yelpcdn.com/bphoto/dbO2ZeAwE0_qyg9HSuzC_g/o.jpg,"733 Taraval St, San Francisco, CA 94116"
67,barvale,https://s3-media1.fl.yelpcdn.com/bphoto/GzIDQVC5BWvkU94tp4cKow/o.jpg,"661 Divisadero St, San Francisco, CA 94117"
68,Good Mong Kok Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/Wndwx-kui0DexPf3rcwz_A/o.jpg,"1039 Stockton St, San Francisco, CA 94108"
69,Blackwood,https://s3-media3.fl.yelpcdn.com/bphoto/FLUtTzjwU9Rvtk5Rcn8fRg/o.jpg,"2150 Chestnut St, San Francisco, CA 94123"
70,Tuba Authentic Turkish Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/5Wwf7SvMSDEzQZ1e9GSkyQ/o.jpg,"1007 Guerrero St, San Francisco, CA 94110"
71,Hinodeya Ramen Bar,https://s3-media1.fl.yelpcdn.com/bphoto/jsDmbW9Eaqgyc0Kbw4TUvg/o.jpg,"1737 Buchanan St, San Francisco, CA 94115"
72,Kaya,https://s3-media4.fl.yelpcdn.com/bphoto/1EuXk_klvnydi5gNIZqK4A/o.jpg,"1420 Market St, San Francisco, CA 94102"
73,Don Pisto's,https://s3-media2.fl.yelpcdn.com/bphoto/9oDu7WFzaLXhNblXfvr1NA/o.jpg,"510 Union St, San Francisco, CA 94133"
74,Seven Hills,https://s3-media2.fl.yelpcdn.com/bphoto/ywOw-ze0h-nLAPlPZXcqVg/o.jpg,"1550 Hyde St, San Francisco, CA 94109"
75,Lolinda,https://s3-media1.fl.yelpcdn.com/bphoto/wYzB4595TuYesGnyUt9lPw/o.jpg,"2518 Mission St, San Francisco, CA 94110"
76,Prospect,https://s3-media3.fl.yelpcdn.com/bphoto/OuBrSACvSN5dpEgg67fr3g/o.jpg,"300 Spear St, San Francisco, CA 94105"
77,Fermentation Lab,https://s3-media3.fl.yelpcdn.com/bphoto/w4FHivA5QXw-n60hB0f1MA/o.jpg,"1230 Market St, San Francisco, CA 94102"
78,Hakkasan,https://s3-media2.fl.yelpcdn.com/bphoto/NEDgv2eNNlJ5-VhN5zu9ZA/o.jpg,"1 Kearny St, San Francisco, CA 94108"
79,Akiko's Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/XJBfe68tQbZeueKmOgYJIw/o.jpg,"431 Bush St, San Francisco, CA 94108"
80,MAC'D,https://s3-media3.fl.yelpcdn.com/bphoto/f9EM-rZx3o96Xj3K_M4E0A/o.jpg,"3347 Fillmore St, San Francisco, CA 94123"
81,Barnzu,https://s3-media3.fl.yelpcdn.com/bphoto/udXd3i3MihTrapfaQSES6w/o.jpg,"711 Geary St, San Francisco, CA 94109"
82,Garaje,https://s3-media2.fl.yelpcdn.com/bphoto/_nN_DhLXkfwEkwPNxne9hw/o.jpg,"475 3rd St, San Francisco, CA 94107"
