"cid","rid"
29,799
15,800
29,801
15,802
15,803
39,804
71,805
10,806
34,807
102,808
19,809
34,810
103,811
5,812
58,813
39,814
44,815
39,816
1,817
15,818
20,819
18,820
29,821
59,822
30,823
38,824
18,825
14,826
11,827
34,828
79,829
48,830
14,831
39,832
14,833
32,834
14,835
22,836
5,837
18,838
8,839
8,840
30,841
8,842
57,843
58,844
7,845
20,846
6,847
48,848
39,849
48,850
29,851
10,852
22,853
34,854
4,855
10,856
20,857
97,858
22,859
39,860
7,861
7,862
50,863
18,864
104,865
9,866
37,867
88,868
15,869
10,870
5,871
9,872
11,873
17,874
48,875
32,876
7,877
105,878
15,879
8,880
39,881
21,882
8,883
5,884
8,885
15,886
9,887
18,888
5,889
105,890
29,891
20,892
9,893
5,894
8,895
18,896
7,897
34,898
20,899
80,900
80,901
59,902
39,903
58,904
106,905
39,906
39,907
14,908
1,909
54,910
48,911
20,912
31,913
29,914
17,915
12,916
2,917
107,918
15,919
34,920
59,921
11,922
11,923
22,924
5,925
108,926
15,927
15,928
10,929
19,930
48,931
29,932
39,933
14,934
6,935
9,936
109,937
48,938
14,939
48,940
58,941
59,942
35,943
11,944
8,945
2,946
110,947
32,948
111,949
5,950
24,951
9,952
22,953
11,954
10,955
9,956
10,957
37,958
14,959
17,960
17,961
14,962
27,963
8,964
37,965
20,966
10,967
102,968
112,969
97,970
110,971
7,972
70,973
14,974
101,975
20,976
7,977
19,978
8,979
9,980
37,981
10,982
39,983
11,984
15,985
15,986
29,987
59,988
101,989
15,990
14,991
17,992
82,993
97,994
12,995
34,996
20,997
7,998
15,999
14,1000
